,_step,train/logps/rejected,train/grad_norm,train/epoch,train/ref_logps/rejected,train/rewards/rejected,train/rewards/accuracies,train/losses/total,_runtime,train/loss,train/logps/chosen,train/losses/sft,_timestamp,train/losses/dpo,train/ref_logps/chosen,train/rewards/margins,train/global_step,train/learning_rate,train/rewards/chosen
54,54,-40.282562255859375,11.221723556518555,0.1,-39.95262908935547,-0.030638599768280983,0.5,0.6909706592559814,451.022014145,0.6916,-33.129337310791016,1.1515344381332397,1769713938.0886197,0.6909706592559814,-32.833038330078125,0.004425835330039263,55,4.978991596638655e-07,-0.02621276304125786
55,55,-41.600730895996094,10.437429428100586,0.11,-41.208702087402344,-0.05100250244140625,0.75,0.689349353313446,458.871452385,0.6883,-37.42353057861328,1.3698910474777222,1769713945.907254,0.689349353313446,-37.13209533691406,0.007678912952542305,56,4.968487394957983e-07,-0.043323591351509094
56,56,-37.47532653808594,11.59278678894043,0.11,-37.16782760620117,-0.011443139053881168,0.25,0.7034518718719482,466.421445113,0.6983,-38.521461486816406,0.8073458075523376,1769713953.4590883,0.7034518718719482,-38.115013122558594,-0.020323896780610085,57,4.95798319327731e-07,-0.03176703676581383
57,57,-44.32073974609375,10.960986137390137,0.11,-43.84371566772461,-0.03209509700536728,0.25,0.6976149082183838,474.117505877,0.6882,-41.583518981933594,1.3898475170135498,1769713961.1504846,0.6976149082183838,-41.20998764038086,-0.008800506591796875,58,4.947478991596638e-07,-0.040895603597164154
58,58,-47.90873718261719,10.461405754089355,0.11,-47.51850128173828,-0.02488703653216362,0.75,0.6924984455108643,482.005721958,0.6904,-36.120765686035156,1.2374409437179565,1769713969.0723252,0.6924984455108643,-35.789283752441406,0.001878330484032631,59,4.936974789915967e-07,-0.02300870418548584
59,59,-42.703468322753906,10.761672019958496,0.11,-42.33525848388672,-0.07095499336719513,0.5,0.6918917298316956,489.839472096,0.6909,-40.44891357421875,1.6978614330291748,1769713976.8714888,0.6918917298316956,-40.1278076171875,0.0026900768280029297,60,4.926470588235295e-07,-0.0682649165391922
60,60,-44.374027252197266,10.971722602844238,0.12,-43.873634338378906,-0.04046676307916641,0.5,0.7026102542877197,497.977500149,0.6938,-41.086978912353516,1.6056487560272217,1769713985.0109828,0.7026102542877197,-40.577186584472656,-0.01844838820397854,61,4.915966386554621e-07,-0.0589151494204998
61,61,-49.880428314208984,12.851923942565918,0.12,-49.335777282714844,-0.07134709507226944,1.0,0.6654759049415588,505.976470217,0.6795,-35.690635681152344,1.997076153755188,1769713993.0053174,0.6654759049415588,-35.42520523071289,0.056264184415340424,62,4.905462184873949e-07,-0.015082906931638718
62,62,-38.21207809448242,11.368996620178223,0.12,-37.754058837890625,-0.0334048755466938,0.5,0.698858916759491,513.661299429,0.6945,-36.060211181640625,1.2473657131195068,1769714000.7278833,0.698858916759491,-35.58150100708008,-0.011072443798184395,63,4.894957983193276e-07,-0.044477321207523346
63,63,-42.925960540771484,11.197669982910156,0.12,-42.487953186035156,-0.05251496285200119,1.0,0.6768279075622559,521.481957421,0.6938,-43.6947021484375,1.632872223854065,1769714008.5484726,0.6768279075622559,-43.24787521362305,0.03307897970080376,64,4.884453781512604e-07,-0.019435979425907135
